prix,kilometrage,couleur_du_vehicule,etat_du_vehicule,boite,annee,cylindree,marque,modele,puissance_fiscale,type_de_carrosserie,carburant,kilometrage_log
9.581972891547895,360.0,Noir,Avec kilométrage,manuelle,2003.0,1.4,ford,focus c-max,6.0,Berline,Essence,5.8888779583328805
10.55843949396453,96700.0,Noir,Avec kilométrage,automatique,2017.0,1.2,renault,clio,4.0,Compacte,Essence,11.47937902264955
11.082157933374816,100000.0,Gris,Avec kilométrage,automatique,2016.0,1.6,kia,carens,8.0,Autres,Essence,11.51293546492023
10.915106645867503,185000.0,Noir,Avec kilométrage,manuelle,2012.0,1.6,mercedes-benz,classe a,7.0,Autres,Essence,12.128116509451258
12.54254845357358,22500.0,Bleu,Avec kilométrage,automatique,2021.0,3.0,audi,inconnu,23.0,4 x 4,Essence,10.021315031649332
10.736418414365374,100000.0,Gris,RS,manuelle,2020.0,1.5,peugeot,2008,6.0,Compacte,Essence,11.51293546492023
10.428245666832275,82000.0,Rouge,Avec kilométrage,manuelle,2021.0,1.2,fiat,panda,4.0,Berline,Essence,11.314486721293981
10.085850775128717,226000.0,Rouge,Avec kilométrage,manuelle,2009.0,1.2,ford,fiesta,5.0,Autres,Essence,12.328294703023396
11.010415172807951,108.0,Gris,Nouveau,manuelle,2021.0,1.1,seat,ibiza,4.0,inconnu,Essence,4.6913478822291435
10.868587496017359,295000.0,Blanc,Nouveau,manuelle,2013.0,2.0,bmw,serie 3 gt,6.0,Berline,Diesel,12.59473402514672
11.270866642542865,220000.0,Gris,Nouveau,automatique,2015.0,2.0,bmw,serie 5,10.0,Berline,Diesel,12.301387370778713
10.545367754151743,73000.0,Rouge,Avec kilométrage,manuelle,2022.0,0.8,kia,picanto,4.0,Autres,Essence,11.19822841866684
10.292179440058462,84.0,Noir,Nouveau,manuelle,2019.0,1.2,mahindra,hover,5.0,4 x 4,Essence,4.442651256490317
10.404293143019792,212000.0,Bleu,Avec kilométrage,manuelle,2015.0,1.6,mazda,3,6.0,Compacte,Essence,12.264346270624157
10.448743588106625,112000.0,Gris,Avec kilométrage,manuelle,2020.0,1.6,mg,5,6.0,Berline,Essence,11.626263078808801
10.389026137075234,148000.0,Doré,Avec kilométrage,manuelle,2014.0,1.2,ford,fiesta,5.0,Compacte,Essence,11.904974309480181
